,0,1,2,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,Tax-Supported Debt Service Outstanding as of 8/31/03 ,2002 M&O Tax Rate ,2002 I&S Tax Rate ,2002 TOTAL Tax Rate ,2002 Tax Year Assessed Valuation (AV) ,Population ,Debt Ratio Tax Debt to Assessed Valuation (AV) ,Debt Ratio Tax Debt Service to AV ,Debt Ratio Tax Debt Per Capita 
127,117-000-00,Hutchinson County,HUTCHINSON,,,,0.4317,0,0.4317,1375930920,22959,0,0,0
128,118-000-00,Irion County,IRION,,,,0.470413,0.029587,0.5,219221550,1742,0,0,0
129,119-000-00,Jack County,JACK,6600000,3000970.625,9600970.625,0.474056,0,0.474056,367796578,8949,0.017944702030370713,0.026104023798176827,737.5125712370098
130,120-000-00,Jackson County,JACKSON,,,,0.6186,0,0.6186,753758186,14247,0,0,0
131,121-000-00,Jasper County,JASPER,3125000,1456262.5,4581262.5,0.48863,0.02771,0.51634,1514960423,35509,0.0020627601570024643,0.003024014641206241,88.00585766988651
132,122-000-00,Jeff Davis County,JEFF DAVIS,,,,0.5581,0,0.5581,148258226,2236,0,0,0
133,123-000-00,Jefferson County,JEFFERSON,74575000,50484387.5,125059387.5,0.312811,0.052189,0.365,12175397037,248605,0.006125056930248179,0.010271483313435702,299.97385410591096
134,124-000-00,Jim Hogg County,JIM HOGG,,,,1.06,0,1.06,413810621,5024,0,0,0
135,125-000-00,Jim Wells County,JIM WELLS,3300000,3483975,6783975,0.6996,0,0.6996,972308285,40469,0.0033939852728910977,0.006977185224745873,81.54389779831476
136,126-000-00,Johnson County,JOHNSON,16288185.15,10335466.08,26623651.23,0.405579,0.019506,0.425085,4607390992,139068,0.0035352296295846908,0.00577846579034159,117.12389011131245
137,127-000-00,Jones County,JONES,,,,0.6557,0.0192,0.6749,402525850,20039,0,0,0
138,128-000-00,Karnes County,KARNES,1070000,165055,1235055,0.788,0.0688,0.8568,292582310,15276,0.0036570905465884112,0.004221222397211916,70.0445142707515
